objid,ra,dec,i,r,g,ra_px,dec_px
1237646587710015296,80.6524223928513,0.705837811430035,21.33304,22.69083,24.10493,692.8756297533654,1219.445120923756
1237646587710013847,80.6534561661239,0.785459534837024,15.89093,16.12886,16.7359,1416.5943978989528,1228.4857390583622
1237646587710014266,80.6542848016764,0.762106094539914,17.08548,17.66419,19.0099,1204.3248324255906,1236.1251811700386
1237646587710015034,80.6563844929715,0.801563901741606,20.20682,21.36005,22.97713,1562.9763038497667,1255.0380897275904
1237646587710014275,80.6589386584024,0.81929975739982,16.45707,16.82082,17.77659,1724.187453342865,1278.1809389256969
1237646587710014592,80.6602204327315,0.759105456718938,19.58656,19.79447,20.43734,1177.0544781689573,1290.1071781480932
1237646587710014279,80.6621469387573,0.765164692054289,18.80824,18.93642,19.29487,1232.1308870370003,1307.5961110256399
1237646587710014287,80.6625844772022,0.826707099381445,18.28695,18.68384,19.61595,1791.5186962751613,1311.2958026386082
1237646587710015049,80.6630207123925,0.768212226819748,19.47944,20.49527,22.01847,1259.8318956251205,1315.5269080467556
1237646587710014299,80.6677368528209,0.844044506668797,18.14,18.40458,19.17993,1949.1101778211175,1358.063334355516
1237646587710014314,80.6694551899133,0.839598030891577,16.68935,17.01573,17.88089,1908.695177297121,1373.7068437449752
1237646587710014665,80.5324867871993,0.683269187233306,20.62352,21.45297,23.06941,487.67819132424984,129.03966354925024
1237646587710014666,80.5340823816415,0.822678977881812,20.55389,21.79276,23.30778,1754.838685490261,142.95341174374676
1237646587710014682,80.5389160672366,0.66932674513457,19.64644,20.31682,21.98503,360.9513871709004,187.55710519489162
1237646587710014685,80.5390878183867,0.675744304801175,20.26437,21.80209,23.30552,419.28366600723723,189.09133286764484
1237646587710014689,80.5400538485295,0.640286528633828,19.01561,19.70967,21.18064,96.9914847174266,198.02646691131918
1237646587710015121,80.541271713733,0.795224313715647,20.83933,22.38046,24.03251,1505.2931353268982,208.43737176532966
1237646587710014712,80.5486848793518,0.837490836841647,21.27624,21.56871,22.71491,1889.4763746136987,275.65806292911486
1237646587710014714,80.549666025469,0.77054136967811,20.54665,21.29274,22.74431,1280.9419095708756,284.866224190863
1237646587710014719,80.5516703860196,0.689895304409639,19.93194,21.61839,23.36949,547.9139324388327,303.43699471070806
1237646587710014726,80.5537955219327,0.827915650881704,19.52494,20.32305,21.78615,1802.445039528291,322.1658564140308
1237646587710014732,80.5540973526132,0.820051762699914,21.0603,22.43244,23.31934,1730.9665763095024,324.94398080704764
1237646587710015148,80.5542342127388,0.838634806845308,20.63364,22.08735,23.84557,1899.8767338372872,326.1083711569368
1237646587710014740,80.5548977031661,0.750418242533376,19.83142,21.05778,22.69128,1098.0358648096228,332.52062688879306
1237646587710014744,80.5568924868388,0.709341196686007,21.2984,22.15998,23.32099,724.6688189623478,350.83478415598216
1237646587710014751,80.5592349114963,0.773815398258036,20.35449,21.64653,23.10689,1310.7051040285046,371.85491632265126
1237646587710014752,80.5598777395991,0.83585859196965,20.59655,21.53503,23.29397,1874.644770746468,377.43197782267566
1237646587710014753,80.5607423106619,0.801625734696221,21.06318,21.79032,23.10643,1563.4866530246902,385.44053037038987
1237646587710014766,80.5631115264405,0.825121740512544,20.94805,21.77678,23.13153,1777.0538396172165,406.8803709523346
1237646587710014769,80.5635092347071,0.82753905551549,20.27722,20.87956,22.42067,1799.0261297812715,410.4859451478687
1237646587710014789,80.5699593256287,0.680305182048291,19.13238,20.04073,21.68356,460.75306054189525,469.769398892164
1237646587710015167,80.5710285658937,0.758749473772198,21.04034,22.84255,24.10292,1173.7693586246767,479.15114815457514
1237646587710014821,80.5835378124972,0.847603354139766,19.69715,20.73236,22.194,1981.409313711493,592.5010429823986
1237646587710014825,80.5846625740207,0.674841152541869,20.99915,22.1531,23.34179,411.09500914848786,603.4816960714934
1237646587710014823,80.5847689049715,0.680677523639603,19.22465,19.77534,21.15209,464.144535277208,604.4230246889556
1237646587710014828,80.5851752685656,0.725888959212718,20.5727,21.47984,22.98505,875.0920539582045,607.9204389628798
1237646587710015179,80.5852474692553,0.663958965334753,21.33315,22.37351,23.76601,312.1820352114762,608.8473489677963
1237646587710014829,80.585245433618,0.654690634942467,20.70975,21.49271,23.07452,227.93782696173116,608.8693129910271
1237646587710014834,80.5854742033755,0.682944864293585,20.03887,21.56913,22.96931,484.75378685953785,610.8260067557578
1237646587710014854,80.5887909491308,0.810939708170405,21.4819,21.77214,22.86258,1648.1587107508233,640.4234452543261
1237646587710014866,80.5912786255601,0.780226350116113,20.96803,21.29936,22.43511,1368.9921613945878,663.1763295455855
1237646587710014869,80.5923584320826,0.723416512952312,20.70976,21.0774,22.43606,852.6224574056757,673.2430930791295
1237646587710015187,80.5947161274612,0.715911604830294,20.70177,21.91696,23.66338,784.4081563964078,694.713009497965
1237646587710015203,80.5991688035052,0.682454128881466,21.59623,22.20804,23.63441,480.3002084608203,735.3454385583899
1237646587710015215,80.6076518909871,0.68286476423023,21.41658,21.83645,23.45376,484.0371398197683,812.4755632903341
1237646587710014902,80.6092343624284,0.823112241966328,21.14318,21.77334,22.95171,1758.8111532199002,826.2447340564829
1237646587710015217,80.6104621074193,0.688956468093071,21.37337,21.83925,23.64087,539.4089466580976,838.0003596213071
1237646587710014904,80.6109829890993,0.68394901782635,20.84245,21.38354,22.75186,493.89421498083084,842.7585680611032
1237646587710014916,80.6187340471552,0.738526151186044,19.91996,20.83294,22.46361,989.9748197700144,912.9924689834266
1237646587710014921,80.6199794639703,0.668358583203383,19.96036,20.89659,22.43771,352.1904921547115,924.6276188289196
1237646587710015232,80.6202880495042,0.657522619732976,21.28674,22.62107,23.8559,253.69751893499392,927.4815218011801
1237646587710014932,80.6265228707824,0.768965127129102,21.35427,21.65118,22.61953,1266.652844091457,983.6754640984356
1237646587710015248,80.6276088837047,0.730290006252299,20.99717,22.23458,23.69526,915.1178278811566,993.7220318548704
1237646587710014956,80.6299679050561,0.837242279076951,21.00028,21.97075,23.20768,1887.2574772947323,1014.6941842248173
1237646587710014962,80.6313028938575,0.740918653837582,19.7017,20.86555,22.44695,1011.7285526889856,1027.2618113340252
1237646587710014965,80.6318104407756,0.81947594814123,19.74192,20.29261,21.49413,1725.7719988451215,1031.5260251546829
1237646587710014980,80.6344900508293,0.780923695092368,20.56194,21.54934,23.1784,1375.3543785272743,1056.0617165289177
1237646587710014989,80.6374758462156,0.802536316560201,20.70126,21.63261,23.05277,1571.8032044842416,1083.1125794122306
1237646587710014996,80.6399864198593,0.659244529229714,20.31688,21.71628,23.28127,269.360118548738,1106.5810554627233
1237646587710014998,80.6404205935987,0.690723807269581,20.95696,21.61273,23.13832,555.4901795221646,1110.3877405534743
1237646587710014479,80.6428687375665,0.846640785974956,18.51018,19.7334,21.23075,1972.6928345933134,1131.9479743969177
1237646587710015270,80.643875527613,0.65648333341321,20.88391,22.05452,23.73506,244.26463034759934,1141.95511646293
1237646587710015271,80.6447207749884,0.659175196007951,21.47954,22.91656,24.33491,268.73275068837927,1149.628440423653
1237646587710015285,80.6487613323031,0.647831378622047,21.51892,21.97079,23.90795,165.625853952184,1186.4181874381507
1237646587710015293,80.6516447143559,0.843766503463384,21.10226,22.54904,24.2357,1946.5726390251612,1211.7530233563116
1237646587710015298,80.6542807215399,0.714399671674679,21.27645,22.63256,23.64055,770.6994541247169,1236.3031789760196
1237646587710015028,80.6551907292526,0.821143543068813,20.76611,22.12213,23.51536,1740.9440511216967,1244.0958346379612
1237646587710015314,80.6631925301829,0.801139981008427,21.17541,21.95604,23.58894,1559.1275435624564,1316.9400561319644
1237646587710015054,80.6641889177016,0.656510580388043,19.48859,20.48186,22.05177,244.524877608883,1326.6544567118503
1237646587710015322,80.6662678727107,0.803675579729268,21.50813,22.46022,23.55843,1582.1768274057667,1344.890203614043
1237646587710013926,80.5277203802434,0.692610873018747,19.18218,19.43056,20.09966,572.5872686147723,85.66166415857185
1237646587710013938,80.5299320362711,0.660709944951447,18.36234,18.77515,19.77011,282.625616910952,105.90666915463589
1237646587710013956,80.5357477621181,0.763904960884466,18.04388,18.22454,18.7473,1220.614997371492,158.34599144638628
1237646587710013958,80.5375866299513,0.698572783921634,19.55879,19.75382,20.22785,626.7816993747397,175.34438463765582
1237646587710014385,80.5463653205122,0.786001735000535,19.24051,19.46729,20.18783,1421.4668939331077,254.78906936529387
1237646587710014713,80.5491334071606,0.810312452081985,19.91043,20.30702,21.22487,1642.4393760901744,279.8527989007073
1237646587710014749,80.5575191673565,0.794877595152154,20.444,21.38292,22.88113,1502.1483109913854,356.1641613679194
1237646587710014015,80.567467413796,0.821596896275701,18.10706,18.34561,19.0017,1745.01679946803,446.5000019115817
1237646587710014017,80.5716737964048,0.779955279709731,19.01279,19.15159,19.53233,1366.518842570892,484.92575627595596
1237646587710013563,80.5724490202694,0.766521491714222,15.81249,16.00147,16.55691,1244.413402297464,492.032585776763
1237646587710014797,80.5726259460803,0.803335821286724,20.86962,21.13684,21.76714,1579.0357356331951,493.48143665521445
1237646587710014045,80.5792832246321,0.753529661209755,17.76722,18.36213,19.75193,1126.3279991031702,554.2275603645762
1237646587710014812,80.581621677933,0.638167169610177,22.12913,22.69676,23.29743,77.74640167960945,575.9923656041726
1237646587710014061,80.5887147547494,0.646621266731478,16.35928,16.80224,17.91682,154.59324433299514,640.449390663751
1237646587710014063,80.5916721306262,0.657275739613894,17.20218,17.60147,18.71096,251.43827724275343,667.2926956945853
1237646587710014067,80.5929442222276,0.650306310613172,15.69577,16.12606,17.17614,188.0904931673017,678.8897186795972
1237646587710014077,80.5937062229756,0.647296622434474,18.0015,18.22849,18.85999,160.73439749383272,685.831407844833
1237646587710014079,80.5946850559513,0.676995507980163,17.86249,18.05862,18.57042,430.6819743817607,694.6011899777156
